fall_year,spring_year,year_str,geo_id_b2020,geo_nm_b2020,grade,count,basez
2022,2023,2022-2023,3.7063E+14,Block 1003,9,1,0
2023,2024,2023-2024,3.7063E+14,Block 1003,9,1,1
2024,2025,2024-2025,3.7063E+14,Block 1003,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1003,12,1,1
2022,2023,2022-2023,3.7063E+14,Block 1004,0,1,1
2023,2024,2023-2024,3.7063E+14,Block 1004,1,1,1
2024,2025,2024-2025,3.7063E+14,Block 1004,2,2,1
2020,2021,2020-2021,3.7063E+14,Block 1004,4,2,1
2020,2021,2020-2021,3.7063E+14,Block 1004,5,1,1
2021,2022,2021-2022,3.7063E+14,Block 1004,5,2,1
2021,2022,2021-2022,3.7063E+14,Block 1004,6,1,1
2022,2023,2022-2023,3.7063E+14,Block 1004,6,3,3
2024,2025,2024-2025,3.7063E+14,Block 1004,6,1,0
2020,2021,2020-2021,3.7063E+14,Block 1004,7,1,1
2022,2023,2022-2023,3.7063E+14,Block 1004,7,1,1
2023,2024,2023-2024,3.7063E+14,Block 1004,7,3,2
2021,2022,2021-2022,3.7063E+14,Block 1004,8,1,1
2023,2024,2023-2024,3.7063E+14,Block 1004,8,1,1
2024,2025,2024-2025,3.7063E+14,Block 1004,8,2,1
2022,2023,2022-2023,3.7063E+14,Block 1004,9,1,1
2023,2024,2023-2024,3.7063E+14,Block 1004,10,1,1
2024,2025,2024-2025,3.7063E+14,Block 1004,11,1,0
2020,2021,2020-2021,3.7063E+14,Block 1004,12,1,0
2022,2023,2022-2023,3.7063E+14,Block 1004,12,1,1
2020,2021,2020-2021,3.7063E+14,Block 1005,0,1,0
2021,2022,2021-2022,3.7063E+14,Block 1005,0,1,1
2021,2022,2021-2022,3.7063E+14,Block 1005,1,1,0
2022,2023,2022-2023,3.7063E+14,Block 1005,1,1,1
2020,2021,2020-2021,3.7063E+14,Block 1005,2,1,1
2022,2023,2022-2023,3.7063E+14,Block 1005,2,1,0
2021,2022,2021-2022,3.7063E+14,Block 1005,3,1,1
2023,2024,2023-2024,3.7063E+14,Block 1005,3,1,0
2021,2022,2021-2022,3.7063E+14,Block 1005,4,1,1
2022,2023,2022-2023,3.7063E+14,Block 1005,4,1,1
2024,2025,2024-2025,3.7063E+14,Block 1005,4,1,0
2022,2023,2022-2023,3.7063E+14,Block 1005,5,1,1
2023,2024,2023-2024,3.7063E+14,Block 1005,5,1,1
2021,2022,2021-2022,3.7063E+14,Block 1005,6,1,0
2024,2025,2024-2025,3.7063E+14,Block 1005,6,1,1
2021,2022,2021-2022,3.7063E+14,Block 1005,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1005,10,1,0
2021,2022,2021-2022,3.7063E+14,Block 1005,12,1,1
2024,2025,2024-2025,3.7063E+14,Block 1006,-3,1,0
2023,2024,2023-2024,3.7063E+14,Block 1006,-1,1,0
2020,2021,2020-2021,3.7063E+14,Block 1006,0,1,1
2021,2022,2021-2022,3.7063E+14,Block 1006,0,3,3
2022,2023,2022-2023,3.7063E+14,Block 1006,0,2,2
2024,2025,2024-2025,3.7063E+14,Block 1006,0,3,2
2021,2022,2021-2022,3.7063E+14,Block 1006,1,2,2
2022,2023,2022-2023,3.7063E+14,Block 1006,1,3,3
2023,2024,2023-2024,3.7063E+14,Block 1006,1,1,1
2022,2023,2022-2023,3.7063E+14,Block 1006,2,2,2
2023,2024,2023-2024,3.7063E+14,Block 1006,2,3,3
2024,2025,2024-2025,3.7063E+14,Block 1006,2,1,1
2020,2021,2020-2021,3.7063E+14,Block 1006,3,1,1
2021,2022,2021-2022,3.7063E+14,Block 1006,3,1,1
2023,2024,2023-2024,3.7063E+14,Block 1006,3,2,2
2024,2025,2024-2025,3.7063E+14,Block 1006,3,3,3
2020,2021,2020-2021,3.7063E+14,Block 1006,4,2,1
2021,2022,2021-2022,3.7063E+14,Block 1006,4,2,2
2022,2023,2022-2023,3.7063E+14,Block 1006,4,1,1
2024,2025,2024-2025,3.7063E+14,Block 1006,4,2,2
2021,2022,2021-2022,3.7063E+14,Block 1006,5,2,1
2022,2023,2022-2023,3.7063E+14,Block 1006,5,2,2
2022,2023,2022-2023,3.7063E+14,Block 1006,6,2,2
2023,2024,2023-2024,3.7063E+14,Block 1006,6,2,1
2021,2022,2021-2022,3.7063E+14,Block 1006,7,1,1
2023,2024,2023-2024,3.7063E+14,Block 1006,7,1,1
2024,2025,2024-2025,3.7063E+14,Block 1006,7,2,1
2022,2023,2022-2023,3.7063E+14,Block 1006,8,1,1
2024,2025,2024-2025,3.7063E+14,Block 1006,8,1,1
2020,2021,2020-2021,3.7063E+14,Block 1006,10,1,0
2021,2022,2021-2022,3.7063E+14,Block 1006,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1006,11,2,0
2022,2023,2022-2023,3.7063E+14,Block 1006,11,1,1
2022,2023,2022-2023,3.7063E+14,Block 1006,12,2,0
2020,2021,2020-2021,3.7063E+14,Block 1007,0,1,0
2022,2023,2022-2023,3.7063E+14,Block 1007,0,1,0
2021,2022,2021-2022,3.7063E+14,Block 1007,1,1,0
2023,2024,2023-2024,3.7063E+14,Block 1007,1,1,0
2022,2023,2022-2023,3.7063E+14,Block 1007,2,1,0
2024,2025,2024-2025,3.7063E+14,Block 1007,2,1,1
