GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1400000US37063000900,Census Tract 9; Durham County; North Carolina,810,175,5.3,5.4,0,5.1,10.7,6.5,4.9,4.2,12.7,7.5,18,9.2,12.7,7.9,7.9,5.4,20.7,13,6.9,3.6,69500,17968,95826,16514,28,(X),(X),(X),(X),(X),407,85,5.2,7.4,0,9.9,13,10.2,12.8,10.3,21.9,14.6,10.8,8.9,11.5,10.1,3.7,3.8,14,8.2,7.1,4.6,48203,28658,83265,20946,(X),(X),23.6,(X),(X),(X),210,66,0,18.2,0,18.2,0,18.2,13.3,14.7,11.4,14.9,11.4,10.4,17.6,16.2,7.1,7.4,27.1,15.4,11.9,8.5,-,**,N,N,(X),(X),(X),(X),(X),(X),403,174,5.5,8.3,0,10,9.2,9.7,1.5,2.6,4.7,7.2,27.3,16.7,5.5,7.3,12.2,10.5,27.5,22.9,6.7,6.5,81103,54290,104681,25274,(X),(X),(X),(X),28,(X)
1400000US37063001001,Census Tract 10.01; Durham County; North Carolina,1357,244,3.8,3.9,7.1,6.2,6,5.3,33.8,12.8,11.9,7.1,14.8,9.2,4.9,3.2,9,4.6,4.1,3.2,4.5,3.5,32425,11956,59192,9581,45.3,(X),(X),(X),(X),(X),843,194,3.6,4.9,1.1,1.8,0,4.9,40.9,17,10.8,9.1,18.5,14.3,5.6,4.6,10.3,6.3,4.9,4.3,4.4,4.5,40665,18084,64242,11622,(X),(X),54.6,(X),(X),(X),435,154,0,9.3,0,9.3,0,9.3,46.2,29.7,0,9.3,23,24.6,8.3,8.6,10.8,9,7.8,8,3.9,5.2,53325,34371,N,N,(X),(X),(X),(X),(X),(X),514,165,10.1,10.7,13,13.7,15.8,12.7,22.2,15.8,13.8,13.7,8.8,9,1.9,3,9.7,9,2.9,4.8,1.8,2.9,28819,6570,45386,14214,(X),(X),(X),(X),26.3,(X)
1400000US37063001002,Census Tract 10.02; Durham County; North Carolina,1940,288,2.2,3,5.5,4.5,13.9,8.4,15.3,9.4,17,9,19.4,8.3,7.2,6.9,8.4,4.3,10.4,5.5,0.8,1.4,48303,9083,63465,10296,42.2,(X),(X),(X),(X),(X),1136,259,1.1,2.1,2.3,3.7,13,10.2,15.7,11.1,23,12.8,18.1,9.1,8.9,11.1,11.7,6.6,4.8,5.4,1.3,2.4,48670,6196,62238,10904,(X),(X),37.3,(X),(X),(X),640,236,0,6.4,0,6.4,0,6.4,8.1,10.1,27.8,19.4,18.6,13.5,15.8,18.6,18.8,11.5,8.6,9.4,2.3,4.2,61934,58245,N,N,(X),(X),(X),(X),(X),(X),804,225,3.7,6.5,10,9.6,15,12.9,19.2,18,13.3,13.9,16.9,14.6,0,5.1,3.7,6,18.2,11.9,0,5.1,35664,18204,61163,19468,(X),(X),(X),(X),44.7,(X)
1400000US37063001100,Census Tract 11; Durham County; North Carolina,1185,149,4.7,3.6,16.2,8.3,20.8,9.8,9,6.6,10.9,6.6,15.9,7.5,5.3,5.3,9.6,6.1,2.7,2.3,4.8,3.7,33869,10285,55498,10002,43.4,(X),(X),(X),(X),(X),584,139,4.5,6.9,0,7,19.9,13.5,5.1,5.7,18.7,12.1,17.3,12.9,5.1,6.8,16.8,11.6,5.5,4.7,7.2,6.5,65458,31384,74722,15893,(X),(X),55.5,(X),(X),(X),196,88,0,19.4,0,19.4,0,19.4,0,19.4,27,25.3,0,19.4,15.3,20.6,19.9,21.8,16.3,12.6,21.4,16.1,106339,38747,N,N,(X),(X),(X),(X),(X),(X),601,160,5,6.5,31.9,15,21.8,13.9,12.8,11.1,3.3,4.4,14.5,11,5.5,7.5,2.7,4.1,0,6.8,2.5,3.7,19464,7927,36817,9220,(X),(X),(X),(X),31.6,(X)
1400000US37063001301,Census Tract 13.01; Durham County; North Carolina,844,198,9.4,7.8,9.7,5.5,2.4,2.6,10.5,6.2,16,9.7,18.8,15.2,11.7,8.3,19.3,9.8,0,4.9,2.1,3,56250,25134,64480,13846,43.7,(X),(X),(X),(X),(X),290,96,4.5,7.7,5.5,6.8,0,13.6,35.2,18.8,13.1,15.2,15.2,12.1,19.3,14.9,7.2,7.8,0,13.6,0,13.6,43421,21023,51159,10622,(X),(X),46.9,(X),(X),(X),64,55,0,42.4,0,42.4,0,42.4,12.5,21.9,59.4,41.1,0,42.4,10.9,18.9,17.2,26.4,0,42.4,0,42.4,44079,30975,N,N,(X),(X),(X),(X),(X),(X),554,183,11.9,11.2,11.9,7.3,3.6,3.9,6.7,5.5,13,11.3,23.5,22.2,5.1,7.5,21.1,13.5,0,7.4,3.2,4.7,60417,35536,66119,19435,(X),(X),(X),(X),42.1,(X)
1400000US37063001303,Census Tract 13.03; Durham County; North Carolina,678,137,3.5,3.1,3.4,3.2,14.6,8.5,9.9,6.5,10.9,6.9,16.4,7.7,15.3,9.9,24.6,13.2,0,6.1,1.3,1.8,65238,19599,67176,11190,40.9,(X),(X),(X),(X),(X),439,129,2.5,3.5,0,9.2,10.9,10.3,14.6,9.8,9.1,8.4,16.6,10.8,29.8,20.2,14.4,12,0,9.2,2.1,2.8,70568,19812,68369,12881,(X),(X),43.5,(X),(X),(X),107,63,0.9,2.8,0,31.6,0,31.6,11.2,16.4,9.3,13.4,16.8,21.3,10.3,13.9,51.4,31.3,0,31.6,0,31.6,122688,104528,N,N,(X),(X),(X),(X),(X),(X),239,68,5.4,5.6,9.6,8.4,25.1,12.4,1.3,2.1,14.2,13.8,15.9,10.1,14.6,13.7,13.8,10.2,0,16.2,0,16.2,44940,22058,54443,13543,(X),(X),(X),(X),36,(X)
1400000US37063001304,Census Tract 13.04; Durham County; North Carolina,1076,135,13.8,9,8.9,6.2,13.8,7.4,6.2,4.7,15.8,9.3,11.2,7.7,13.3,6.8,11,6.3,0.7,1.4,5.1,4.9,41204,6240,58759,15908,41.3,(X),(X),(X),(X),(X),401,99,3.7,6.2,0,10,12.2,13.4,0.2,3.2,30.7,16.8,9.5,13.2,16.5,12.1,13.5,14.6,0,10,13.7,12.4,68322,46664,90763,32601,(X),(X),39.7,(X),(X),(X),221,99,0,17.4,0,17.4,0,17.4,0.5,6,26.7,17.7,0,17.4,23.5,20.5,24.4,22.3,0,17.4,24.9,22.1,94625,54237,N,N,(X),(X),(X),(X),(X),(X),675,140,22.1,13.9,14.2,9.4,12.6,8.2,9.8,7.7,12.7,11.6,10.8,9.3,11.4,9.5,5.2,6.2,1.2,2.2,0,6.1,26442,13895,36147,9694,(X),(X),(X),(X),40,(X)
1400000US37063001400,Census Tract 14; Durham County; North Carolina,1295,352,18,11.8,2.5,3.2,6.3,5.2,7.4,6.6,22.5,18.9,23.6,11.1,11.2,11.4,8.4,6.7,0,3.2,0,3.2,49028,5445,49502,9668,30.8,(X),(X),(X),(X),(X),647,187,13.1,13.9,4.9,6.4,7.1,7.3,15.5,12.1,7.7,9.1,13.9,13,22.4,21.4,15.3,12.4,0,6.4,0,6.4,53320,39845,57177,16362,(X),(X),48.2,(X),(X),(X),183,85,0,20.6,0,20.6,10.9,17,32.2,29.2,7.1,12,10.9,15.8,19.7,26.2,19.1,28,0,20.6,0,20.6,-,**,N,N,(X),(X),(X),(X),(X),(X),648,356,22.8,23.1,0,6.3,5.6,7.4,0,6.3,37.3,33,32.7,22.9,0,6.3,1.5,2.6,0,6.3,0,6.3,48867,1675,41612,11737,(X),(X),(X),(X),12.8,(X)
1400000US37063001501,Census Tract 15.01; Durham County; North Carolina,4,7,0,100,0,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,-,**,N,N,0,(X),(X),(X),(X),(X),4,7,0,100,0,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,-,**,N,N,(X),(X),0,(X),(X),(X),4,7,0,100,0,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,-,**,N,N,(X),(X),(X),(X),(X),(X),0,14,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
1400000US37063001503,Census Tract 15.03; Durham County; North Carolina,0,14,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),0,14,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,14,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),0,14,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
1400000US37063001504,Census Tract 15.04; Durham County; North Carolina,1390,179,35.1,12,6,5,11.1,8.5,14,7.6,9.1,5,8,4.9,8.1,5.5,7.1,4.1,0.7,1.1,0.8,1.3,23198,13639,35883,8076,22.8,(X),(X),(X),(X),(X),407,163,34.9,25.2,0,9.9,29,22.8,3.9,6,9.3,10.8,0,9.9,0,9.9,17.7,12.7,2.5,3.9,2.7,4.4,19215,9928,45260,19131,(X),(X),33.9,(X),(X),(X),112,66,25,30.2,0,30.6,0,30.6,14.3,21.8,13.4,20.4,0,30.6,0,30.6,28.6,26.7,8.9,13.8,9.8,16.3,-,**,N,N,(X),(X),(X),(X),(X),(X),983,208,35.2,12.7,8.5,6.9,3.7,4.1,18.2,9.7,11.4,6.3,11.3,6.6,9.1,7.1,2.6,3.5,0,4.2,0,4.2,26449,19377,30995,7964,(X),(X),(X),(X),18.2,(X)
1400000US37063001505,Census Tract 15.05; Durham County; North Carolina,2046,357,20.2,8.8,7.6,4.5,13,7.3,8,5.5,10.3,10,27,9,5.8,3.9,2.6,3.1,3.8,3.7,1.6,2,41027,21554,46476,9025,37.2,(X),(X),(X),(X),(X),488,173,21.5,21.8,3.9,7.1,4.5,7,31.6,23.1,0,8.3,23.4,18.8,0,8.3,2.5,4.2,5.9,9.8,6.8,8.4,29363,21548,58624,29275,(X),(X),30.5,(X),(X),(X),252,130,16.7,22,0,15.5,0,15.5,8.7,16.3,0,15.5,45.2,29.8,0,15.5,4.8,8,11.5,18.3,13.1,14.7,67955,25369,N,N,(X),(X),(X),(X),(X),(X),1558,338,19.8,9.8,8.8,6.1,15.7,9.3,5.5,4.7,13.5,12.7,23.3,10.8,7.6,5.3,2.7,3.8,3.1,3.9,0,2.7,40179,25908,40905,7796,(X),(X),(X),(X),36.4,(X)
1400000US37063001601,Census Tract 16.01; Durham County; North Carolina,2089,116,4.5,4,0,2,4.6,3.9,3.4,2.8,9.2,5.5,16.4,5.8,21.6,8.2,17.5,6.1,15.8,6.7,7,3.7,83750,11334,107241,12717,44.2,(X),(X),(X),(X),(X),1505,163,3.6,3.7,0,2.8,3.9,4.5,0,2.8,10.6,6.9,15.7,6.8,23.7,9.8,18.4,6.5,15.7,8.1,8.4,4.8,84828,21429,109683,15064,(X),(X),44.5,(X),(X),(X),1193,180,1.6,2.6,0,3.5,4.9,5.8,0,3.5,7.5,6.3,16.2,8.5,23.9,11.9,19.5,8,18,9.9,8.3,5.4,85268,31325,N,N,(X),(X),(X),(X),(X),(X),584,145,7,10.6,0,7,6.3,7.6,12,9.8,5.7,6.8,18.3,13.2,19.5,12.1,16.1,12.9,11.8,14,3.3,5,78409,37961,97173,33450,(X),(X),(X),(X),43.5,(X)
1400000US37063001603,Census Tract 16.03; Durham County; North Carolina,2951,510,2.4,1.9,1.1,1.3,0,1.4,3.4,2.7,15.1,9.2,20.4,10.6,12.5,5.4,20.3,8.2,10.7,5,14.1,4.9,85021,28876,118127,16830,23.7,(X),(X),(X),(X),(X),2011,394,1.3,1.8,0,2.1,0,2.1,4.4,3.7,16.9,12.9,12.6,6.3,7.4,4.5,27.1,11.3,12.2,5.4,18.1,6.8,117998,10121,135049,24020,(X),(X),22.3,(X),(X),(X),1578,251,1.3,2.1,0,2.7,0,2.7,2.5,2.9,4.7,3.7,15.3,7.2,8.9,5.7,29.3,12.2,15,6.4,23.1,8.1,121694,15811,N,N,(X),(X),(X),(X),(X),(X),940,346,5.3,5.6,3.4,4.2,0,4.4,1.4,2.4,11.3,8.1,36.5,23.4,25.6,15.2,3.6,4.3,7.3,7.8,5.5,5.5,74041,2312,80678,11876,(X),(X),(X),(X),26.7,(X)
1400000US37063001604,Census Tract 16.04; Durham County; North Carolina,2860,372,4,3,1.1,1.2,5.2,3.3,11.7,8.4,8.8,5.9,11.5,4,11.7,3.9,22.9,6.9,9.8,4.6,13.4,4.7,94808,17755,108845,13727,43.4,(X),(X),(X),(X),(X),2155,358,0,2,0.8,1.3,4.5,3.9,12.1,11,9.2,7.5,7,4.8,10.4,4.5,26.9,8.9,12,5.7,17.1,6.2,118068,19131,123111,18264,(X),(X),47.1,(X),(X),(X),1799,286,0,2.3,0.9,1.5,1.9,3.1,3.9,3.4,11,8.9,6.6,5.3,10.6,4.5,31.6,9.5,14.3,6.3,19.1,7,122423,10383,N,N,(X),(X),(X),(X),(X),(X),705,149,16,12,2.1,2.8,7.1,5.5,10.5,6.8,7.7,5.6,25.4,12.3,15.5,8.5,10.5,9.7,3.1,5.2,2.1,3.9,58359,19308,63933,15310,(X),(X),(X),(X),28.4,(X)
1400000US37063001705,Census Tract 17.05; Durham County; North Carolina,2356,253,3.2,2.9,2.1,2,8.6,5.8,2.6,4,22.9,9,18,8.5,15.5,6,14.1,5.9,5.4,3.1,7.6,4.3,64263,11099,94888,18323,35.9,(X),(X),(X),(X),(X),1309,235,2.2,2.7,0.8,1.4,8.3,10.4,0,3.2,25.3,13.5,11.2,8.3,14.8,9,17.9,9.5,8.6,5.3,10.9,6.4,78713,23512,114870,27585,(X),(X),43.1,(X),(X),(X),757,188,0,5.5,1.5,2.4,0,5.5,0,5.5,3.7,4.4,15.5,12.4,16.6,12.6,30.9,14.2,12.9,9.6,18.9,10,132689,42579,N,N,(X),(X),(X),(X),(X),(X),1047,288,5,5.3,3.6,4.3,9.1,6.2,5.9,8.9,28.4,13.4,17.5,11,17.8,10.1,8,7,1.4,2.5,3.3,4.7,45733,22700,67299,19721,(X),(X),(X),(X),26,(X)
1400000US37063001706,Census Tract 17.06; Durham County; North Carolina,2710,310,1.7,1.7,1.7,2.2,0.7,1.1,9.3,6.4,19.9,9.5,14.6,6.4,11.6,5,17.5,5.9,11.3,5.7,11.7,6,79459,22064,114078,21795,18.3,(X),(X),(X),(X),(X),1317,269,0,3.2,1.7,3.1,0,3.2,3.3,4.6,12.7,14.6,8.4,6.1,15.4,7.4,20.3,8.1,14,7.7,24.1,12.8,126557,36828,163191,43694,(X),(X),18.1,(X),(X),(X),926,184,0,4.5,2.4,4.5,0,4.5,0,4.5,1.6,2.8,5.3,5.1,17.4,9.7,20.2,9,18.8,9.8,34.3,14.1,181071,56724,N,N,(X),(X),(X),(X),(X),(X),1393,275,3.3,3.2,1.7,3,1.3,2.2,14.9,11.4,26.8,14.2,20.5,10.1,8,5.3,14.9,8.5,8.7,9.2,0,3,52298,16894,67645,15523,(X),(X),(X),(X),18.4,(X)
1400000US37063001708,Census Tract 17.08; Durham County; North Carolina,2077,295,3.9,3.6,8.1,5.3,8.7,6.2,2.3,2.2,14,7.3,16.2,7.8,11.7,6.6,23.7,12.5,6.9,3.2,4.4,3.9,67453,16611,82398,11191,57.4,(X),(X),(X),(X),(X),1331,344,1.1,1.8,2,3.1,0,3.1,0,3.1,12.3,8.2,25.6,11.9,10.9,7.3,33.4,16.8,8.2,4.7,6.5,6,98229,25828,102484,13668,(X),(X),67.8,(X),(X),(X),783,214,1.9,3.1,0,5.3,0,5.3,0,5.3,13,12.7,32.2,14.5,8,7.1,19.9,10.6,13.9,7.4,11,9.3,91406,37920,N,N,(X),(X),(X),(X),(X),(X),746,201,9,9.4,22.5,13.3,24.1,14.5,6.3,6.3,15.3,11.2,2.4,3,12.6,11.7,4.8,5.7,2.1,3.4,0.8,1.5,21000,11562,41393,12772,(X),(X),(X),(X),36.1,(X)
1400000US37063001709,Census Tract 17.09; Durham County; North Carolina,3052,372,4.6,3.3,6.6,5.1,6.4,4.9,11.8,6.7,23.3,8.5,21.6,8.2,4.3,3.5,18.7,9,1,1.3,1.8,2.4,47324,7214,61660,8217,34.8,(X),(X),(X),(X),(X),1742,362,3.8,4.4,4.1,5.7,6.8,7.2,10.1,9.1,20.4,11,27.9,12.1,12.1,9.2,13.1,8.1,1.7,2.5,0,2.4,58910,17724,60352,9037,(X),(X),47.4,(X),(X),(X),694,263,0,5.9,0,5.9,12.4,16.6,0,5.9,16.4,15.1,38.2,18.9,4,7.3,29,19.9,0,5.9,0,5.9,63438,9169,N,N,(X),(X),(X),(X),(X),(X),1310,363,5.6,5.4,10,8.8,5.9,5.1,14,12.2,34.8,14.6,5.4,7.4,4.5,5,16.6,14.4,0,3.2,3.2,5,39184,7762,56717,16382,(X),(X),(X),(X),18.1,(X)
1400000US37063001710,Census Tract 17.10; Durham County; North Carolina,1965,218,3.9,4.2,5.4,4.2,5.2,4.3,7.7,4.3,15,6,13.6,6.2,21.5,10,19.3,6.2,6.4,4.6,2,1.7,73155,14885,76732,7783,32,(X),(X),(X),(X),(X),1248,164,4,6,8,6.6,4.8,6.4,6.7,5.1,12.3,7.7,16.3,7.5,15.7,9.5,20.3,7.6,9.1,7.1,2.7,2.7,71176,17964,80664,11540,(X),(X),40.8,(X),(X),(X),639,130,0,6.4,0,6.4,0.9,1.6,4.4,5.1,13.8,8.9,16.9,10.3,16,12.3,32.7,11.4,11.7,10.3,3.6,4.3,96298,16186,N,N,(X),(X),(X),(X),(X),(X),717,215,3.6,4.2,0.8,1.3,6,4.8,10.9,9.1,19.5,11,12.1,8.2,31.5,19.4,13.1,8.5,1.7,2.7,0.7,1.3,64141,28961,66567,9178,(X),(X),(X),(X),15.9,(X)
